c0,c1,c2,c3
3657650.2227536957,18627418.128320515,2222566.7085349853,12157518.182434948
3292994.158023465,17829240.982603509,2212700.4047417389,12027064.983525783
3011391.2820985876,18037618.161631104,2187398.5501073082,11878154.154309146
3076796.5788945891,17904037.338298757,2163868.1989664938,11712318.854552174
3147644.7945874357,20838582.86486908,2220278.7133205575,11818033.575316045
3721505.0586063075,21425059.844594013,2203845.717408923,12183925.905950895
3402041.3821208086,19749858.558561407,2176384.0219605258,12057867.004109234
3098635.4968534159,18452372.175216328,2156308.2311662431,11868533.303261032
2941431.0434594299,17724520.172191087,2130062.3439979614,11689992.516078329
2812758.3817110457,17866655.740993448,2106766.2906954139,11795186.776522275
2863413.5770494724,17684577.041128673,2084020.7785735703,11861206.472278833
2724039.001904408,17421351.253105309,2063988.0715792098,11724870.822458211
2682549.9305258524,17185617.950062253,2043189.8034636939,11555131.024391867
2797000.7570736459,17192732.626509488,2079071.022120792,11578086.060907437
2914320.5400141627,17050930.311172504,2102111.1868860722,11741465.391327837
2779465.4312305301,16992969.146809433,2129825.4343210314,11936738.385562221
3171324.7885685391,19329569.624414153,2346426.0717730946,13376480.511346269
3290433.9886486111,22692727.714133572,2505179.888247557,14717681.418641755
3036077.7941090292,21312803.671408638,2380471.8302307259,13786191.35100216
3092415.8145882161,21538312.655949812,2275576.8859975818,14417631.79912468
2949575.7464054162,21631850.961103719,2615436.6193605657,17530021.897571906
3537154.1267538662,23223186.412201583,2720924.9371693842,17821038.579304319
4243818.9238226721,21771801.370177817,2538751.7592819398,16316644.3172688
3979249.8814981338,20439681.722344965,2359517.4139345405,14795620.403448867
3986683.3132104143,23396466.870145451,2430845.4552994156,13821047.857208453
3603312.2941560759,21838873.353655413,2525152.2595476974,12937151.255613469
3499639.2445453373,20738324.20303297,2388682.5758929588,12618893.909502713
3839656.4209743035,21419638.298115458,2429810.6726627364,12830757.229066867
4195599.1729961233,23190222.108535089,2340103.5882494319,13925629.735444637
3790673.7904178309,23027202.627432853,2297038.9186659176,14016986.987328639
3551905.4302824815,21280865.157498017,2297625.2393788039,13214143.670905741
3242827.242809128,21748930.99472275,2453317.9843279081,17794492.518081315
3080180.7589345928,22874891.656430397,2475339.649621381,18661869.383666445
3468715.012323861,21607020.515211266,2461107.1275119046,17162287.137276392
3200456.8051318298,19921227.553206336,2332382.2629779517,15455435.796934234
2989341.0896528154,18892042.251592234,2359763.4393506292,14899036.026272187
2829619.1888860706,18924781.453771032,2331487.3500035657,15128829.029424908
2767149.568832248,18169426.206334334,2254523.8215344916,14122301.641163474
2718311.2788608405,17661817.095538031,2194424.4463183889,13146979.011310192
3356113.8801359255,17771553.378270347,2273523.0405526757,12990572.045571173
3121285.0082160337,17529967.072910771,2192392.9539938192,12778565.176646994
2901576.1639942848,17299632.894127853,2159887.9124864149,12564898.914160131
2752615.0694050435,17095266.336691827,2134838.31580362,12361920.286809191
2706782.8827595743,16888213.238178354,2108633.8502866314,12191127.060443845
2672309.4449626021,16743864.698861195,2086054.7678854421,12017140.428444227
2639517.2606077818,16577206.168092299,2064449.4549235438,11853297.058427554
2609250.7394017912,16415209.696074085,2042843.6410874792,11692923.389225431
2581318.2834397042,16267779.955878403,2022927.6174540408,11543916.737303786
2555605.090334598,16132207.938236365,2004747.4770702592,11407249.032308964
2531631.6672235611,16009808.84513302,1989251.7983993259,11280780.232805597
2509829.9977594307,15896828.904879073,1974509.6704562516,11161008.219162447
2489871.1884465208,15793861.324523686,1960598.4546450877,11048847.26153326
2503287.3385420875,15770714.002156032,1955073.363682291,10957907.710323807
2513670.7872217125,15729036.275254536,1973717.2589939728,10862678.860199636
2494224.8991821934,15640350.120531633,1964990.0902124448,10772946.563690493
2475130.2644288712,15569038.381641347,1952577.2068920981,10714876.170818392
2457367.6633236641,15514383.478271281,1939102.1836207169,10682868.19765139
2441275.8258807263,15485986.990355313,1927050.3087761952,10652026.113871949
